Title,Title_URL,Image,gs_ai_aff,gs_ai_eml,Number,gs_ai_one_int,gs_ai_one_int2,gs_ai_one_int4,,,hi
Hrvoje Karna,https://scholar.google.com/citations?hl=en&user=4iU1zzEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,47,Computer Science,Software Engineering,Data Science,,,5
Lea Dujić Rodić,https://scholar.google.com/citations?hl=en&user=0TffQtAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=0TffQtAAAAAJ&citpid=5,"University of Split Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,46,Tangible User Interfaces,Human-Computer Interaction,IoT,,,4
Milan Perkušić,https://scholar.google.com/citations?hl=en&user=K3GGEIYAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"poslijedoktorant, FESB, Split",Verified email at fesb.hr,43,tehničke znanosti,,,,,3
Marina Prvan,https://scholar.google.com/citations?hl=en&user=3-pqxpoAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,41,,,,,,4
Ivana Dumanić,https://scholar.google.com/citations?hl=en&user=hHMfxacAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"research assistant, University of Split, Faculty of Electrical engineering, mechanical …",Verified email at fesb.hr,40,mechanical engineering,semi-solid,cutting,,,4
Ante Kristić,https://scholar.google.com/citations?hl=en&user=Zm85ehsAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,University of Split,Verified email at fesb.hr,37,,,,,,3
Ana Čulić,https://scholar.google.com/citations?hl=en&user=MLaoUOkAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Research Assistant, University of Split, FESB",Verified email at fesb.hr,31,Mechanical Engineering,Industrial Engineering,Energy Efficiency,,,2
Ante Lojić Kapetanović,https://scholar.google.com/citations?hl=en&user=u3saonQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=u3saonQAAAAJ&citpid=1,University of Split,Verified email at fesb.hr,31,bioelectromagnetics,electromagnetic dosimetry,,,,3
Petra Bagavac,https://scholar.google.com/citations?hl=en&user=0ceclX0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=0ceclX0AAAAJ&citpid=2,"University of Split, unist.hr",Verified email at fesb.hr,28,Infrared Thermography,Signal Processing,Composite Materials,,,4
Maja Džoja,https://scholar.google.com/citations?hl=en&user=UX798DsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=UX798DsAAAAJ&citpid=13,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval",Verified email at fesb.hr,18,Theory of plasticity,Anisotropy,Metal forming,,,2
Jadranka Marasović,https://scholar.google.com/citations?hl=en&user=AlOwIuQAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Full Professor with Tenure at University of Split, Faculty of Electrical Engineering …",Verified email at fesb.hr,16,Game Theory,Optimization Methods,Automatic Control,,,1
Tonči Piršić,https://scholar.google.com/citations?hl=en&user=VLZd65IAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Profesor strojarstva, FESB - Split",Verified email at fesb.hr,15,strojarstvo,,,,,2
Barbara Konjevod,https://scholar.google.com/citations?hl=en&user=lnIFm8cAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Librarian at FESB - Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,11,cataloging,open access,EU projects,,,2
Matija Pauković,https://scholar.google.com/citations?hl=en&user=6IIrQbcAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant, Faculty of Electrical Engineering, Mechanical Engineering and Naval Architecture …",Verified email at fesb.hr,8,signal processing,bio-signals,data science,,,1
Antonia Ivanda,https://scholar.google.com/citations?hl=en&user=eHBWOMUAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Research assistant, University of Split",Verified email at fesb.hr,6,computer science,artificial intelligence,big data,,,1
Alen Grebo,https://scholar.google.com/citations?hl=en&user=hSYmC0MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=hSYmC0MAAAAJ&citpid=2,"University of Split, Faculty of Electrical Engineering Mechanical Engineering and Naval …",Verified email at fesb.hr,5,Mechanical Engineering,Artificial Intelligence,,,,1
Ivana Grgić,https://scholar.google.com/citations?hl=en&user=3LGq76AAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Teaching Assistant, University of Split, Faculty of Elecrtical Engineering, Mechanical …",Verified email at fesb.hr,2,diskretna matematika,,,,,1
Marin Mandić,https://scholar.google.com/citations?hl=en&user=qTrsIBkAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"University of Split, Faculty of Electrical Engineering, Mechanical Engineering and Naval …",Verified email at fesb.hr,2,Optimizacija spremišta energije,tržište električne energije,,,,1
Domagoj Samardzic,https://scholar.google.com/citations?hl=en&user=oIdjnuAAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,"Assistant at Faculty of electrical engineering, mechanical engineering and naval architecture …",Verified email at fesb.hr,0,Numerical analysis,shape parametrization and topology,,,,0
